date,nombre,variacion
2025-10-31,Sergio Carreira,0.039
2025-10-31,Christian Stuani,0.039
2025-10-31,Eric García,0.038
2025-10-31,Akor Adams,0.038
2025-10-31,Javi Muñoz,0.038
2025-10-31,Adrià Altimira,0.038
2025-10-31,Hector Fort,0.038
2025-10-31,Grady Diangana,0.038
2025-10-31,Pedro Bigas,0.037
2025-10-31,Youssef Enríquez,0.037
2025-10-31,Manu Morlanes,0.037
2025-10-31,Nacho Vidal,0.037
2025-10-31,David Costas,0.037
2025-10-31,Martin Valjent,0.036
2025-10-31,Marc Domènech,0.036
2025-10-31,Nico González,0.035
2025-10-31,Samuel Costa,0.035
2025-10-31,Chidera Ejuke,0.035
2025-10-31,Ramón Martínez,0.035
2025-10-31,Álvaro Carreras,0.034
2025-10-31,Kiko Femenía,0.034
2025-10-31,Yvan Neyou,0.034
2025-10-31,Carles Aleñá,0.033
2025-10-31,Jon Aramburu,0.033
2025-10-31,Djibril Sow,0.032
2025-10-31,Marc Roca,0.032
2025-10-31,Alejandro Rego,0.032
2025-10-31,Cristian Portu,0.032
2025-10-31,David Soria,0.031
2025-10-31,Jonny Otto,0.031
2025-10-31,Matías Moreno,0.031
2025-10-31,Fran Pérez,0.031
2025-10-31,Bambo Diaby,0.031
2025-10-31,Lucas Bergström,0.031
2025-10-31,Vladyslav Krapyvtsov,0.031
2025-10-31,Sergio Camello,0.03
2025-10-31,Víctor Parada,0.029
2025-10-31,Endrick,0.029
2025-10-31,Bryan Gil,0.028
2025-10-31,Antonio Sánchez,0.028
2025-10-31,Jofre Carreras,0.027
2025-10-31,Allan Nyom,0.027
2025-10-31,Jofre Torrents,0.027
2025-10-31,Marko Dmitrović,0.026
2025-10-31,Ilaix Moriba,0.026
2025-10-31,Largie Ramazani,0.026
2025-10-31,Sergio Gómez,0.025
2025-10-31,Omar Falah,0.025
2025-10-31,Vinícius Júnior,0.024
2025-10-31,Javier López,0.024
2025-10-31,Omar Mascarell,0.024
2025-10-31,Charles Pickel,0.023
2025-10-31,Jhon Solís,0.022
2025-10-31,David López,0.022
2025-10-31,Lander Pinillos,0.022
2025-10-31,Julián Álvarez,0.021
2025-10-31,Giovani Lo Celso,0.021
2025-10-31,Pedro Díaz,0.021
2025-10-31,Marc Bernal,0.021
2025-10-31,Umar Sadiq,0.021
2025-10-31,Ángel Ortiz,0.021
2025-10-31,Beñat Turrientes,0.02
2025-10-31,Raúl Fernández,0.02
2025-10-31,Marash Kumbulla,0.02
2025-10-31,Nahuel Molina,0.02
2025-10-31,Brandon Domingues,0.02
2025-10-31,Adam Boayar,0.02
2025-10-31,Kylian Mbappé,0.019
2025-10-31,Julen Agirrezabala,0.019
2025-10-31,Alejandro Iturbe,0.019
2025-10-31,Ramón Terrats,0.019
2025-10-31,Ezequiel Ávila,0.019
2025-10-31,Jones El-Abdellaoui,0.018
2025-10-31,Randy Nteka,0.017
2025-10-31,Thierry Correia,0.016
2025-10-31,Alfonso Pedraza,0.016
2025-10-31,Víctor García,0.016
